player_id,player_name,ff,fr,fr_td
siran-neal,Siran Neal,1,0,0
fred-warner,Fred Warner,1,0,0
christian-barmore,Christian Barmore,0,0,0
nick-bosa,Nick Bosa,0,0,0
ji-ayir-brown,Ji'Ayir Brown,0,0,0
kevin-byard,Kevin Byard,0,0,0
kamren-curl,Kam Curl,0,0,0
ashtyn-davis,Ashtyn Davis,0,0,0
carlton-davis,Carlton Davis III,0,0,0
tyler-davis-4,Tyler Davis,0,0,0
shaun-dolac,Shaun Dolac,0,0,0
demario-douglas,DeMario Douglas,0,0,0
jaden-dugger,Jaden Dugger,0,0,0
cory-durden,Cory Durden,0,0,0
christian-elliss,Christian Elliss,0,0,0
braden-fiske,Braden Fiske,0,0,0
montorie-foster-jr,Montorie Foster Jr,0,0,0
christian-gonzalez,Christian Gonzalez,0,0,0
renardo-green,Renardo Green,0,0,0
dre-greenlaw-x9042,Dre Greenlaw,0,0,0
derick-hall,Derick Hall,0,0,0
ty-hamilton,Ty Hamilton,0,0,0
khadarel-hodge,KhaDarel Hodge,0,0,0
gabe-jacas,Gabe Jacas,0,0,0
joshua-jobe,Josh Jobe,0,0,0
desjuan-johnson,Desjuan Johnson,0,0,0
dre-mont-jones,Dre'Mont Jones,0,0,0
ernest-jones-2,Ernest Jones,0,0,0
jack-jones-2,Jack Jones,0,0,0
marcus-jones-2,Marcus Jones,0,0,0
khalid-kareem,Khalid Kareem,0,0,0
kamren-kinchens,Kamren Kinchens,0,0,0
george-kittle,George Kittle,0,0,0
quentin-lake,Quentin Lake,0,0,0
nate-landman,Nate Landman,0,0,0
demarcus-lawrence,DeMarcus Lawrence,0,0,0
deommodore-lenoir,Deommodore Lenoir,0,0,0
julian-love,Julian Love,0,0,0
jaylen-mccollough,Jaylen McCollough,0,0,0
trent-mcduffie,Trent McDuffie,0,0,0
rylie-mills,Rylie Mills,0,0,0
byron-murphy-ii,Byron Murphy II,0,0,0
malik-mustapha,Malik Mustapha,0,0,0
puka-nacua,Puka Nacua,0,0,0
uchenna-nwosu,Uchenna Nwosu,0,0,0
namdi-obiazor,Namdi Obiazor,0,0,0
patrick-o-connell,Patrick O'Connell,0,0,0
osa-odighizuwa,Osa Odighizuwa,0,0,0
ogbo-okoronkwo,Ogbo Okoronkwo,0,0,0
connor-o-toole,Connor O'Toole,0,0,0
desjuan-johnson,Desjuan Johnson,0,0,0
dre-mont-jones,Dre'Mont Jones,0,0,0
ernest-jones-2,Ernest Jones,0,0,0
jack-jones-2,Jack Jones,0,0,0
marcus-jones-2,Marcus Jones,0,0,0
khalid-kareem,Khalid Kareem,0,0,0
kamren-kinchens,Kamren Kinchens,0,0,0
george-kittle,George Kittle,0,0,0
quentin-lake,Quentin Lake,0,0,0
nate-landman,Nate Landman,0,0,0
demarcus-lawrence,DeMarcus Lawrence,0,0,0
deommodore-lenoir,Deommodore Lenoir,0,0,0
julian-love,Julian Love,0,0,0
jaylen-mccollough,Jaylen McCollough,0,0,0
trent-mcduffie,Trent McDuffie,0,0,0
rylie-mills,Rylie Mills,0,0,0
byron-murphy-ii,Byron Murphy II,0,0,0
malik-mustapha,Malik Mustapha,0,0,0
puka-nacua,Puka Nacua,0,0,0
uchenna-nwosu,Uchenna Nwosu,0,0,0
namdi-obiazor,Namdi Obiazor,0,0,0
patrick-o-connell,Patrick O'Connell,0,0,0
osa-odighizuwa,Osa Odighizuwa,0,0,0
ogbo-okoronkwo,Ogbo Okoronkwo,0,0,0
connor-o-toole,Connor O'Toole,0,0,0
desjuan-johnson,Desjuan Johnson,0,0,0
dre-mont-jones,Dre'Mont Jones,0,0,0
ernest-jones-2,Ernest Jones,0,0,0
jack-jones-2,Jack Jones,0,0,0
marcus-jones-2,Marcus Jones,0,0,0
khalid-kareem,Khalid Kareem,0,0,0
kamren-kinchens,Kamren Kinchens,0,0,0
george-kittle,George Kittle,0,0,0
quentin-lake,Quentin Lake,0,0,0
nate-landman,Nate Landman,0,0,0
demarcus-lawrence,DeMarcus Lawrence,0,0,0
deommodore-lenoir,Deommodore Lenoir,0,0,0
julian-love,Julian Love,0,0,0
jaylen-mccollough,Jaylen McCollough,0,0,0
trent-mcduffie,Trent McDuffie,0,0,0
rylie-mills,Rylie Mills,0,0,0
byron-murphy-ii,Byron Murphy II,0,0,0
malik-mustapha,Malik Mustapha,0,0,0
puka-nacua,Puka Nacua,0,0,0
uchenna-nwosu,Uchenna Nwosu,0,0,0
namdi-obiazor,Namdi Obiazor,0,0,0
patrick-o-connell,Patrick O'Connell,0,0,0
osa-odighizuwa,Osa Odighizuwa,0,0,0
ogbo-okoronkwo,Ogbo Okoronkwo,0,0,0
connor-o-toole,Connor O'Toole,0,0,0
desjuan-johnson,Desjuan Johnson,0,0,0
dre-mont-jones,Dre'Mont Jones,0,0,0
ernest-jones-2,Ernest Jones,0,0,0
jack-jones-2,Jack Jones,0,0,0
marcus-jones-2,Marcus Jones,0,0,0
khalid-kareem,Khalid Kareem,0,0,0
kamren-kinchens,Kamren Kinchens,0,0,0
george-kittle,George Kittle,0,0,0
quentin-lake,Quentin Lake,0,0,0
nate-landman,Nate Landman,0,0,0
demarcus-lawrence,DeMarcus Lawrence,0,0,0
deommodore-lenoir,Deommodore Lenoir,0,0,0
julian-love,Julian Love,0,0,0
jaylen-mccollough,Jaylen McCollough,0,0,0
trent-mcduffie,Trent McDuffie,0,0,0
rylie-mills,Rylie Mills,0,0,0
byron-murphy-ii,Byron Murphy II,0,0,0
malik-mustapha,Malik Mustapha,0,0,0
puka-nacua,Puka Nacua,0,0,0
uchenna-nwosu,Uchenna Nwosu,0,0,0
namdi-obiazor,Namdi Obiazor,0,0,0
patrick-o-connell,Patrick O'Connell,0,0,0
osa-odighizuwa,Osa Odighizuwa,0,0,0
ogbo-okoronkwo,Ogbo Okoronkwo,0,0,0
connor-o-toole,Connor O'Toole,0,0,0
desjuan-johnson,Desjuan Johnson,0,0,0
dre-mont-jones,Dre'Mont Jones,0,0,0
ernest-jones-2,Ernest Jones,0,0,0
jack-jones-2,Jack Jones,0,0,0
marcus-jones-2,Marcus Jones,0,0,0
khalid-kareem,Khalid Kareem,0,0,0
kamren-kinchens,Kamren Kinchens,0,0,0
george-kittle,George Kittle,0,0,0
quentin-lake,Quentin Lake,0,0,0
nate-landman,Nate Landman,0,0,0
demarcus-lawrence,DeMarcus Lawrence,0,0,0
deommodore-lenoir,Deommodore Lenoir,0,0,0
julian-love,Julian Love,0,0,0
jaylen-mccollough,Jaylen McCollough,0,0,0
trent-mcduffie,Trent McDuffie,0,0,0
rylie-mills,Rylie Mills,0,0,0
byron-murphy-ii,Byron Murphy II,0,0,0
malik-mustapha,Malik Mustapha,0,0,0
puka-nacua,Puka Nacua,0,0,0
