player_id,player_name,team_id,jersey_number,position,status,height_in,weight_lb,experience,college
josh-allen,Josh Allen,BUF,17,QB,ACT,77,237,9,Wyoming
kyle-allen,Kyle Allen,BUF,11,QB,ACT,75,210,8,Houston
alec-anderson-2,Alec Anderson,BUF,70,OT,ACT,77,305,4,UCLA
joe-andreessen,Joe Andreessen,BUF,44,LB,ACT,73,240,3,Buffalo
tyler-bass,Tyler Bass,BUF,16,K,ACT,70,183,7,Georgia Southern
skyler-bell,Skyler Bell,BUF,13,WR,ACT,71,192,R,Connecticut
christian-benford,Christian Benford,BUF,47,CB,ACT,73,205,5,Villanova
terrel-bernard,Terrel Bernard,BUF,8,LB,ACT,73,224,5,Baylor
cole-bishop,Cole Bishop,BUF,24,SAF,ACT,74,207,3,Utah
jude-bowry,Jude Bowry,BUF,74,OT,ACT,77,314,R,Boston College
nick-broeker,Nick Broeker,BUF,65,G,DEV,76,305,3,Mississippi
spencer-brown,Spencer Brown,BUF,79,OT,ACT,80,311,6,Northern Iowa
shane-buechele,Shane Buechele,BUF,6,QB,DEV,72,210,4,SMU
dewayne-carter,DeWayne Carter,BUF,90,DT,ACT,74,302,3,Duke
bradley-chubb,Bradley Chubb,BUF,9,OLB,ACT,76,268,9,N.C. State
travis-clayton,Travis Clayton,BUF,67,OT,DEV,79,303,2,
keon-coleman,Keon Coleman,BUF,,WR,ACT,75,213,3,Florida State
james-cook,James Cook,BUF,4,RB,ACT,71,190,5,Georgia
austin-corbett,Austin Corbett,BUF,63,G,ACT,76,306,9,Nevada
te-cory-couch,Te'Cory Couch,BUF,33,DB,DEV,70,185,1,Miami
lloyd-cushenberry,Lloyd Cushenberry III,BUF,53,C,ACT,76,315,7,LSU
michael-danna,Michael Danna,BUF,51,LB,ACT,74,257,6,Michigan
ray-davis-2,Ray Davis,BUF,7,RB,ACT,68,211,3,Kentucky
dion-dawkins,Dion Dawkins,BUF,73,OT,ACT,77,320,10,Temple
tommy-doman,Tommy Doman Jr.,BUF,39,P,ACT,76,214,R,Florida
greg-dortch,Greg Dortch,BUF,,WR,DEV,67,180,6,Wake Forest
zane-durant,Zane Durant,BUF,92,DT,RES,73,290,R,Penn State
kaleb-elarms-orr,Kaleb Elarms-Orr,BUF,52,LB,ACT,74,234,R,TCU
reid-ferguson,Reid Ferguson,BUF,69,LS,ACT,74,235,10,LSU
deaundre-ford,Dee Alford,BUF,23,CB,ACT,71,180,5,Tusculum College
sam-franklin,Sam Franklin Jr.,BUF,28,SAF,ACT,75,210,7,Temple
greg-gaines,Greg Gaines,BUF,97,DT,ACT,73,312,8,Washington
chauncey-gardner-johnson,C.J. Gardner-Johnson,BUF,22,SAF,ACT,71,208,8,Florida
frank-gore-jr,Frank Gore Jr.,BUF,20,RB,DEV,68,201,1,Southern Mississippi
stephen-gosnell,Stephen Gosnell,BUF,89,WR,DEV,73,198,1,Virginia Tech
tylan-grable,Tylan Grable,BUF,68,OT,ACT,77,313,3,UCF
shaq-thompson,Shaq Thompson,BUF,54,OLB,DEV,72,230,12,Washington
maxwell-hairston,Maxwell Hairston,BUF,1,CB,ACT,71,192,2,Kentucky
damar-hamlin,Damar Hamlin,BUF,3,SAF,ACT,72,200,6,Pittsburgh
jordan-hancock,Jordan Hancock,BUF,37,CB,ACT,73,195,2,Ohio State
jackson-hawes,Jackson Hawes,BUF,85,TE,ACT,76,253,2,Georgia Tech
mike-hoecht,Michael Hoecht,BUF,55,LB,ACT,76,267,6,Brown
davison-igbinosun,Davison Igbinosun,BUF,21,CB,ACT,74,189,R,Ohio State
landon-jackson,Landon Jackson,BUF,94,DE,ACT,78,264,2,Arkansas
keonta-jenkins,Keonta Jenkins,BUF,49,LB,DEV,74,211,1,Virginia Tech
ty-johnson-x3152,Ty Johnson,BUF,26,RB,ACT,70,210,8,Maryland
andre-jones-jr,Andre Jones Jr.,BUF,59,LB,DEV,77,258,2,Louisiana-Lafayette
anthony-kendall,Anthony Kendall,BUF,30,CB,DEV,70,188,3,Baldwin Wallace College
jalon-kilgore,Jalon Kilgore,BUF,29,SAF,ACT,73,211,R,South Carolina
dalton-kincaid,Dalton Kincaid,BUF,86,TE,ACT,75,246,4,Utah
dawson-knox,Dawson Knox,BUF,88,TE,ACT,76,254,8,Mississippi
keleki-latu,Keleki Latu,BUF,83,TE,ACT,78,249,1,Washington
chase-lundt,Chase Lundt,BUF,77,OT,DEV,79,304,2,Connecticut
ja-mori-maclin,Ja'Mori Maclin,BUF,84,WR,DEV,71,183,R,Kentucky
phidarian-mathis,Phidarian Mathis,BUF,72,DT,SUS,76,312,5,Alabama
connor-mcgovern-2,Connor McGovern,BUF,66,G,ACT,78,318,8,Penn State
d-j-moore,DJ Moore,BUF,2,WR,ACT,72,213,9,Maryland
ed-oliver,Ed Oliver,BUF,91,DT,ACT,73,287,8,Houston
josh-palmer,Josh Palmer,BUF,5,WR,ACT,73,210,6,Tennessee
t-j-parker,TJ Parker,BUF,99,LB,ACT,75,263,R,Clemson
ar-maj-reed-adams,Ar'maj Reed-Adams,BUF,60,G,ACT,77,314,R,Texas A&M
gregory-rousseau,Greg Rousseau,BUF,15,LB,ACT,78,266,6,Miami
t-j-sanders,T.J. Sanders,BUF,98,DT,ACT,76,297,2,South Carolina
khalil-shakir,Khalil Shakir,BUF,10,WR,ACT,72,190,5,Boise State
tyrell-shavers,Tyrell Shavers,BUF,14,WR,PUP,76,211,2,San Diego State
trent-sherfield,Trent Sherfield,BUF,18,WR,DEV,72,203,9,Vanderbilt
javon-solomon,Javon Solomon,BUF,56,LB,ACT,73,246,3,Troy
geno-stone,Geno Stone,BUF,25,SAF,DEV,71,210,7,Iowa
dorian-strong,Dorian Strong,BUF,43,CB,RSN,72,185,2,Virginia Tech
o-cyrus-torrence,O'Cyrus Torrence,BUF,64,G,ACT,77,330,4,Florida
deone-walker,Deone Walker,BUF,96,DT,ACT,79,331,2,Kentucky
kani-walker,Kani Walker,BUF,41,DB,DEV,74,204,R,Arkansas
dorian-williams,Dorian Williams,BUF,42,LB,ACT,73,228,4,Tulane
jedrick-wills,Jedrick Wills,BUF,,OT,DEV,76,307,6,Alabama
devon-achane,De'Von Achane,MIA,28,RB,ACT,69,195,4,Texas A&M
tucker-addington,Tucker Addington,MIA,46,LS,ACT,74,230,1,Sam Houston State
liam-anderson,Liam Anderson,MIA,,LB,DEV,75,230,1,Holy Cross
zayne-anderson,Zayne Anderson,MIA,23,SAF,ACT,74,206,4,BYU
gottlieb-ayedze,Gottlieb Ayedze,MIA,72,OT,DEV,76,309,1,Maryland
darrell-baker-jr,Darrell Baker Jr.,MIA,22,CB,PUP,73,190,4,Georgia Southern
robert-beal-jr,Rob Beal Jr.,MIA,51,DE,ACT,76,264,4,Georgia
chris-bell-2,Chris Bell,MIA,18,WR,ACT,74,228,R,Louisville
zeek-biggers,Zeek Biggers,MIA,93,DT,ACT,78,315,2,Georgia Tech
ethan-bonner,Ethan Bonner,MIA,27,CB,DEV,73,190,3,Stanford
julius-brents,Julius Brents,MIA,8,CB,ACT,75,203,4,Kansas State
aaron-brewer-2,Aaron Brewer,MIA,55,C,ACT,73,290,7,Texas State-San Marcos
jordyn-brooks,Jordyn Brooks,MIA,20,LB,ACT,72,240,7,Texas Tech
major-burns,Major Burns,MIA,43,SAF,DEV,74,207,1,LSU
dj-campbell,DJ Campbell,MIA,63,G,ACT,75,321,R,Texas
kevin-coleman-jr,Kevin Coleman Jr.,MIA,21,WR,ACT,70,180,R,Missouri
brady-cook,Brady Cook,MIA,15,QB,ACT,74,215,2,Missouri
keith-cooper,Keith Cooper Jr.,MIA,97,DE,ACT,77,285,1,Houston
marcellas-dial,Marcellas Dial Jr.,MIA,24,DB,ACT,72,190,3,South Carolina
caleb-douglas,Caleb Douglas,MIA,7,WR,ACT,76,208,R,Texas Tech
storm-duck,Storm Duck,MIA,29,CB,PUP,72,195,3,Louisville
greg-dulcich,Greg Dulcich,MIA,85,TE,ACT,76,245,5,UCLA
clelin-ferrell-x4864,Clelin Ferrell,MIA,98,DE,DEV,76,265,8,Clemson
amari-gainer,Amari Gainer,MIA,,LB,DEV,75,240,2,North Carolina
willie-gay-jr,Willie Gay Jr.,MIA,40,LB,ACT,73,246,7,Mississippi State
chukwuebuka-jason-godrick,Chukwuebuka Godrick,MIA,79,OT,ACT,77,295,1,
ollie-gordon-ii,Ollie Gordon II,MIA,,RB,ACT,74,225,2,Oklahoma State
kenneth-grant-2,Kenneth Grant,MIA,78,DT,RSR,75,335,2,Michigan
ronnie-harrison,Ronnie Harrison,MIA,56,LB,ACT,74,220,9,Alabama
dj-herman,DJ Herman,MIA,34,RB,ACT,73,242,R,San Diego State
malik-herring,Malik Herring,MIA,90,DE,ACT,75,280,6,Georgia
jarquez-hunter-3,Jarquez Hunter,MIA,,RB,DEV,70,211,2,Auburn
austin-jackson,Austin Jackson,MIA,73,OT,ACT,77,305,7,USC
