player_id,player_name,rec,yds,td,20plus,40plus,lng,rec_1st,1stpct,rec_fum,rec_yac_per_r,tgts
jaxon-smith-njigba,Jaxon Smith-Njigba,8,122,1,2,1,45,5,62.5,0,62,11
mike-evans,Mike Evans,6,49,1,0,0,13,6,100,0,6,7
deebo-samuel,Deebo Samuel Sr.,6,48,1,0,0,15,3,50,0,28,7
demario-douglas,DeMario Douglas,5,20,0,0,0,8,2,40,0,21,7
christian-mccaffrey,Christian McCaffrey,5,20,0,0,0,8,0,0,0,30,8
puka-nacua,Puka Nacua,5,74,0,2,1,41,2,40,0,38,9
rhamondre-stevenson,Rhamondre Stevenson,5,44,0,0,0,17,1,20,0,45,6
mack-hollins,Mack Hollins,4,51,0,0,0,19,1,25,0,5,5
davante-adams,Davante Adams,3,26,0,0,0,13,1,33.3,0,9,6
a-j-brown,A.J. Brown,3,26,0,0,0,14,2,66.7,0,14,4
hunter-henry,Hunter Henry,3,26,0,0,0,13,1,33.3,0,14,3
kyren-williams,Kyren Williams,3,24,0,0,0,16,1,33.3,0,17,3
aj-barner,AJ Barner,2,13,0,0,0,9,1,50,0,14,2
luke-farrell,Luke Farrell,2,19,0,0,0,14,1,50,0,16,2
tyler-higbee,Tyler Higbee,2,12,0,0,0,8,0,0,1,3,2
george-kittle,George Kittle,2,12,0,0,0,6,0,0,0,17,5
cooper-kupp,Cooper Kupp,2,35,0,1,0,24,2,100,0,5,3
lan-larison,Lan Larison,2,9,0,0,0,11,1,50,0,12,2
jadarian-price,Jadarian Price,2,6,0,0,0,4,0,0,0,7,2
demarcus-robinson,Demarcus Robinson,2,50,1,1,0,39,2,100,0,7,3
brady-russell,Brady Russell,2,20,0,0,0,13,1,50,0,14,2
davis-allen,Davis Allen,1,13,0,0,0,13,1,100,0,14,1
kaelon-black,Kaelon Black,1,5,0,0,0,5,0,0,0,10,1
jake-brendel,Jake Brendel,1,2,0,0,0,2,0,0,0,3,1
colby-parkinson,Colby Parkinson,1,6,0,0,0,6,0,0,0,4,2
eli-raridon,Eli Raridon,1,2,1,0,0,2,1,100,0,0,1
ronnie-rivers,Ronnie Rivers,1,5,0,0,0,5,1,100,0,3,1
rashid-shaheed,Rashid Shaheed,1,4,0,0,0,4,0,0,0,2,3
jordan-whittington,Jordan Whittington,1,8,0,0,0,8,0,0,0,0,1
romeo-doubs,Romeo Doubs,0,0,0,0,0,0,0,0,0,0,3
terrance-ferguson-2,Terrance Ferguson,0,0,0,0,0,0,0,0,0,0,1
george-holani,George Holani,0,0,0,0,0,0,0,0,0,0,1
konata-mumpfield,Konata Mumpfield,0,0,0,0,0,0,0,0,0,0,1
