player_id,player_name,rush_yds,att,td,20plus,40plus,lng,rush_1st,rush_1stpct,rush_fum
christian-mccaffrey,Christian McCaffrey,68,10,0,0,0,16,2,20,0
kaelon-black,Kaelon Black,65,14,0,0,0,14,3,21.4,0
blake-corum,Blake Corum,54,10,0,0,0,13,2,20,0
jadarian-price,Jadarian Price,52,10,0,0,0,13,4,40,0
rhamondre-stevenson,Rhamondre Stevenson,51,18,0,0,0,12,2,11.1,0
drake-maye,Drake Maye,47,7,0,0,0,16,5,71.4,0
kyren-williams,Kyren Williams,41,11,1,0,0,8,3,27.3,0
george-holani,George Holani,29,8,0,0,0,9,0,0,0
brock-purdy,Brock Purdy,29,5,0,0,0,18,4,80,0
ronnie-rivers,Ronnie Rivers,19,5,0,0,0,7,1,20,0
drew-lock,Drew Lock,13,2,0,0,0,14,0,0,0
deebo-samuel,Deebo Samuel Sr.,12,1,0,0,0,12,1,100,0
corey-kiner,Corey Kiner,11,6,0,0,0,7,0,0,0
stetson-bennett,Stetson Bennett,9,1,0,0,0,9,1,100,0
emanuel-wilson,Emanuel Wilson,3,2,0,0,0,3,0,0,0
matthew-stafford,Matthew Stafford,-1,2,0,0,0,0,0,0,0
