player_id_team,season,receptions,yards,touchdowns,reception_20_yards_plus,receptions_40_yards_plus,long_gain,first_downs,first_down_pct,fumbles,yards_after_catch,targets
jaxon-smith-njigba-SEA,2026,8,122,1,2,1,45,5,62.5,0,62,11
mike-evans-SF,2026,6,49,1,0,0,13,6,100.0,0,6,7
deebo-samuel-SF,2026,6,48,1,0,0,15,3,50.0,0,28,7
demario-douglas-NE,2026,5,20,0,0,0,8,2,40.0,0,21,7
christian-mccaffrey-SF,2026,5,20,0,0,0,8,0,0.0,0,30,8
puka-nacua-LAR,2026,5,74,0,2,1,41,2,40.0,0,38,9
rhamondre-stevenson-NE,2026,5,44,0,0,0,17,1,20.0,0,45,6
mack-hollins-NE,2026,4,51,0,0,0,19,1,25.0,0,5,5
davante-adams-LAR,2026,3,26,0,0,0,13,1,33.3,0,9,6
a-j-brown-NE,2026,3,26,0,0,0,14,2,66.7,0,14,4
hunter-henry-NE,2026,3,26,0,0,0,13,1,33.3,0,14,3
kyren-williams-LAR,2026,3,24,0,0,0,16,1,33.3,0,17,3
aj-barner-SEA,2026,2,13,0,0,0,9,1,50.0,0,14,2
luke-farrell-SF,2026,2,19,0,0,0,14,1,50.0,0,16,2
tyler-higbee-LAR,2026,2,12,0,0,0,8,0,0.0,1,3,2
george-kittle-SF,2026,2,12,0,0,0,6,0,0.0,0,17,5
cooper-kupp-SEA,2026,2,35,0,1,0,24,2,100.0,0,5,3
lan-larison-NE,2026,2,9,0,0,0,11,1,50.0,0,12,2
jadarian-price-SEA,2026,2,6,0,0,0,4,0,0.0,0,7,2
demarcus-robinson-SF,2026,2,50,1,1,0,39,2,100.0,0,7,3
brady-russell-SEA,2026,2,20,0,0,0,13,1,50.0,0,14,2
davis-allen-LAR,2026,1,13,0,0,0,13,1,100.0,0,14,1
kaelon-black-SF,2026,1,5,0,0,0,5,0,0.0,0,10,1
jake-brendel-SF,2026,1,2,0,0,0,2,0,0.0,0,3,1
colby-parkinson-LAR,2026,1,6,0,0,0,6,0,0.0,0,4,2
eli-raridon-NE,2026,1,2,1,0,0,2,1,100.0,0,0,1
ronnie-rivers-LAR,2026,1,5,0,0,0,5,1,100.0,0,3,1
rashid-shaheed-SEA,2026,1,4,0,0,0,4,0,0.0,0,2,3
jordan-whittington-LAR,2026,1,8,0,0,0,8,0,0.0,0,0,1
romeo-doubs-NE,2026,0,0,0,0,0,0,0,0.0,0,0,3
terrance-ferguson-2-LAR,2026,0,0,0,0,0,0,0,0.0,0,0,1
george-holani-SEA,2026,0,0,0,0,0,0,0,0.0,0,0,1
konata-mumpfield-LAR,2026,0,0,0,0,0,0,0,0.0,0,0,1
